"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1","1","4u7/100V","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C2,C3","2","10nF","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"C4,C5","2","100nF","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"C6","1","100n/100V","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"C7","1","100n","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"C8","1","22u/16V","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"C9","1","100n/16V","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"D1","1","BZX84C15","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23",""
"D2","1","SMBJ36A","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMB",""
"D3,D5","2","SMAJ18A","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA",""
"D4,D6","2","BZX84C12","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23",""
"D7","1","B1100","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA",""
"F1","1","1A","","","","","${EXCLUDE_FROM_POS_FILES}","Fuse:Fuse_1206_3216Metric",""
"FB1","1","600R/2A","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",""
"J1,J2","2","Screen header","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinHeader_1.27mm:PinHeader_2x10_P1.27mm_Vertical",""
"J3","1","relay1_coil","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J4","1","relay2_coil","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"J5","1","supply","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"J7","1","sens1","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"J8","1","sens2","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"L1","1","22uH/1A","","","","","${EXCLUDE_FROM_POS_FILES}","Inductor_SMD:L_Bourns_SRN6045TA",""
"Q1","1","P-MOS 100V","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"Q2,Q3","2","BSS138","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23",""
"Q4,Q5","2","IRLML0060","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23","https://www.infineon.com/dgdl/irlml0030pbf.pdf?fileId=5546d462533600a401535664773825df"
"R1,R5,R7,R9,R13,R15,R16,R17,R18","9","100k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R2","1","54k9","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R3,R4,R10,R12,R14","5","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R6,R8","2","1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R11","1","47k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"SW1","1","SW_Push","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_SMD:SW_SPST_SKQG_WithoutStem",""
"U1","1","LMR16006XDDCT","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-6",""
"U3","1","SFH 5711","","","","","${EXCLUDE_FROM_POS_FILES}","Sensor_light:SFH 5711","https://look.ams-osram.com/m/418ff004812c8684/original/SFH-5711.pdf"
